email_id,Group,tag,post_id
aaa.2011,G1,countif,1
aaa.2012,G2,countif,2
aaa.2013,G1,countif,3
aaa.2014,G2,countif,4
aaa.2015,G1,index,5
aaa.2016,G2,lookup,6
aaa.2017,G1,match,7
aaa.2018,G2,norm.dist,8
aaa.2019,G1,norminv,9
aaa.2020,G3,offset,10
aaa.2021,G4,offset,11
aaa.2022,G1,offset,12
aaa.2023,G2,offset,13
aaa.2024,G1,pivot table,14
aaa.2025,G2,round,15
aaa.2026,G1,slope,16
aaa.2027,G2,slope,17
aaa.2028,G1,slope,18
aaa.2029,G2,slope,19
aaa.2030,G1,slope,20
aaa.2031,G3,small,21
aaa.2032,G4,solver,22
aaa.2033,G1,sqrt,23
aaa.2034,G2,sqrt,24
aaa.2035,G1,sqrt,25
aaa.2036,G2,sqrt,26
aaa.2037,G1,sqrt,27
aaa.2038,G2,sqrt,28
aaa.2039,G1,sqrt,29
aaa.2040,G2,sqrt,30
aaa.2041,G1,sqrt,31
aaa.2042,G3,sqrt,32
aaa.2043,G4,sqrt,33
aaa.2044,G1,sqrt,34
aaa.2045,G2,sqrt,35
aaa.2046,G1,stdev,36
aaa.2047,G2,substitute,37
aaa.2048,G1,sumproduct,38
aaa.2049,G2,sumsq,39
aaa.2050,G1,sumsq,40
aaa.2051,G2,sumsq,41
aaa.2052,G1,sumsq,42
aaa.2053,G3,sumsq,43
aaa.2054,G4,time,44
aaa.2055,G1,time,45
aaa.2056,G2,time,46
aaa.2057,G1,time,47
aaa.2058,G1,time,48
aaa.2059,G2,vlookup,49
aaa.2060,G19,vlookup,50
aaa.2061,G2,vlookup,51
aaa.2062,G19,vlookup,52
aaa.2063,G2,vlookup,53
aaa.2064,G1,vlookup,54
aaa.2065,G2,vlookup,55
aaa.2066,G19,vlookup,56
aaa.2067,G19,ztest,57
